job_title,company_name,job_location,job_description,salary_low,salary_high,source,application_url,job_category,job_category_code,timestamp
"Java Developer (100% Remote, Work From Home)",Bitcoin Devs Company,US,"Overview: The Java Developer plays a key role in the design, development, and implementation of complex software solutions using Java technologies. This role is essential in contributing to the advancement of the organization's software applications and systems in a remote work setting. We are looking for a Java Developer to join the CF Benchmarks Index Team. You will be responsible for implementing new crypto indices and for ensuring the smooth running of the CF Benchmarks platform. You should…",120000.0,150000.0,Adzuna,https://www.adzuna.com/details/4753230531?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Software Developer - Work From Home,Parallel Partners,"Harahan, Jefferson Parish","Software Developer - Work From Home This is a 100% Remote Software Developer - Work From Home opportunity. Company will provide the necessary equipment for a home-based set-up (laptop, multiple 4K monitors, work from home ergonomic assessment, etc.). Responsibilities: - Our primary development platforms are C# .Net for web services and Ionic/Cordova for mobile apps. - Application Development, primarily ASP.NET (C#, .NET), JavaScript. - Database Design and Maintenance. - Perform work within allo…",105689.84,105689.84,Adzuna,https://www.adzuna.com/details/4725192845?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Software Developers,Mitchell Martin,"New York, Lucas County","Software Developers (New York, NY) -Design and develop Service Oriented Architecture (SOA) solutions using MuleSoft (Anypoint platform/Studio); Develop integrations with salesforce, databases, Remedy ITSM and SAP Ariba; Analyze and optimize project management of API's on Anypoint platform; Design API's using RAML and Swagger Specifications; Develop mule integration flows using muleSoft anypoint studio; Develop SQL scripts on Oracle database; Develop REST/SOAP web services with optimal security …",166658.9,166658.9,Adzuna,https://www.adzuna.com/land/ad/4753135377?se=xseMTeU07xGaYWr34DRRHw&utm_medium=api&utm_source=330079c0&v=E75A031DD2A4051A71EA4C54946CA9F689D710A2,N/A,N/A,2024-06-27 18:28:22.521402
Software Developer,Architecture Technology Corporation,"Ithaca, Tompkins County","Job Description Job Description Software Developer Do you desire a flexible work schedule? Do you seek an amazing work like balance? We offer both We offer a hybrid - work from home model. And we offer a 40 hour work week (Monday - Friday). Our employees will tell you, working for Architecture Technology Corporation (ATC-NY), there is no shortage of opportunity to make significant and positive lasting impacts on people's lives through the code we develop. The Research and Development Team is th…",74862.45,74862.45,Adzuna,https://www.adzuna.com/land/ad/4749414878?se=xseMTeU07xGaYWr34DRRHw&utm_medium=api&utm_source=330079c0&v=D7FAD106EE444AEC7C0FB1802D800A488607F0C7,N/A,N/A,2024-06-27 18:28:22.521402
Jr. Software Developer,Power Pay,"King of Prussia, Montgomery County","Job Description Job Description PowerPay , a fast-growing financial technology company, is seeking a Jr. Software Developer to help continue to scale out our loan origination and servicing platforms. You will work with the existing engineering team, but the ideal candidate will be able to work autonomously and help contribute to the direction of the projection and team. We’re looking for a motivated individual who is willing to jump into the organization and start contributing. We are looking f…",66110.06,66110.06,Adzuna,https://www.adzuna.com/land/ad/4753985504?se=xseMTeU07xGaYWr34DRRHw&utm_medium=api&utm_source=330079c0&v=20970193858E66F252EDDBADE2C0A8AB7D222866,N/A,N/A,2024-06-27 18:28:22.521402
Public Notice for Direct Hire (DMI) - IT Specialist (Data Management/Applications Software),Centers for Disease Control and Prevention,Anywhere in the U.S. (remote job),"Basic Qualifications: For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below. Attention to Detail - Is thorough when performing work and conscientious about attending to detail. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations. In addition to Basic Qualifications above, Minimum Qualifications must be met: GS-7: At least 1 year of graduate-level education OR Superior academic achievement (See Education section) OR At least 1 year of specialized experience, equivalent to the GS-05 grade level in the Federal service, to include experience synthesizing data into charts showing information flow; operating computer consoles where this involved choosing from among various procedures in responding to machine commands or unscheduled halts; and scheduling the sequence of programs to be processed by computers where alternatives had to be weighed with a view to production efficiency OR A combination of education & experience GS-9: At least 2 years of progressively higher-level graduate education leading to a master's degree or master's or equivalent graduate degree OR At least 1 year of specialized experience, equivalent to the GS-07 grade level in the Federal service, to include experience analyzing the interrelationships of pertinent components of the system; planning the sequence of actions necessary to accomplish the assignment; and having personal responsibility for a least a segment of the overall project OR A combination of education & experience GS-11: At least 3 years of progressively higher-level graduate education leading to a Ph.D. degree or Ph.D. or equivalent doctoral degree OR At least 1 year of specialized experience, equivalent to the GS-09 grade level in the Federal service, to include experience designing, documenting, developing, modifying, testing, implementing, and supporting new or existing application software; and testing, monitoring, and evaluating information technology technologies during design, development, procurement and/or implementation to ensure requirements are met OR A combination of education & experience GS-12: At least 1 year of specialized experience, equivalent to the GS-11 grade level in the Federal service, to include experience utilizing scientific, mathematical, and statistical principles and theories to integrate, transform, and analyze data from a myriad of disparate systems -- OR -- monitoring and maintaining the integrity and accuracy of information and data in applications; analyzing current and projected needs for enhancing reports generated; and developing applications programs for a variety of software applications. GS-13: At least 1 year of specialized experience, equivalent to the GS-12 grade level in the Federal service, to include experience managing, administering, and ensuring the security, maintenance, and operations of database systems; developing applications programs for a variety of software applications in support of the work of an organization; providing technical assistance to data systems, data management, computer programming, quality assurance and analysis; and accessing and summarizing a range of interrelated data sets. GS-14: At least 1 year of specialized experience, equivalent to the GS-13 grade level in the Federal service, to include experience developing modern web applications, backend services, or cloud infrastructure using approaches that may include test-driven development, continuous integration and deployment, or distributed version control such as github. GS-15: At least 1 year of specialized experience, equivalent to the GS-14 grade level in the Federal service, to include experience performing application architecture related activities in an open-source model leveraging cloud services; and defining and enforcing pre-defined architecture for large scale systems. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Promotion potential: Promotion to the next grade level is at management's discretion and is based on your meeting qualifications and time-in-grade requirements, demonstrated ability to perform the higher-level duties, the continuing need for the higher-level duties, and administrative approval. Promotion to the next grade level is not guaranteed and no promise of promotion is implied.",49025.0,186854.0,USA Jobs,https://www.usajobs.gov:443/GetJob/ViewDetails/795380300,Information Technology Management,2210,2024-06-27 18:28:22.521402
Public Notice for Direct Hire (DMI) - Information Technology Specialist (Applications Software),Centers for Disease Control and Prevention,Anywhere in the U.S. (remote job),"Basic Qualifications: For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below. Attention to Detail - Is thorough when performing work and conscientious about attending to detail. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations. In addition to Basic Qualifications above, Minimum Qualifications must be met: GS-7: At least 1 year of graduate-level education OR Superior academic achievement (See Education section) OR At least 1 year of specialized experience, equivalent to the GS-05 grade level in the Federal service, to include experience analyzing and assisting in the development of file structures; evaluating software already in use; and documenting test results and assisting with the modification of program code to debug programs OR A combination of education & experience GS-9: At least 2 years of progressively higher-level graduate education leading to a master's degree or master's or equivalent graduate degree OR At least 1 year of specialized experience, equivalent to the GS-07 grade level in the Federal service, to include experience developing and administering quality control, data verification processes, files conversion and consolidation, testing and maintenance and backup requirements; maintaining application programs and PC data processing systems and designs user interfaces; and analyzing problems and identifies solutions OR A combination of education & experience GS-11: At least 3 years of progressively higher-level graduate education leading to a Ph.D. degree or Ph.D. or equivalent doctoral degree OR At least 1 year of specialized experience, equivalent to the GS-09 grade level in the Federal service, to include experience performing IT support for software computer applications (e.g., Application Design, Implementer, & Development); and utilizing software tools (e.g., SharePoint, Microsoft Office 365 Suite, Application Production Support) OR A combination of education & experience GS-12: At least 1 year of specialized experience, equivalent to the GS-11 grade level in the Federal service, to include experience performing analysis, implementation (e.g., case management implementation), design and development of business processing systems (e.g., ASP Classic, ASP.NET, .NET Core, Customer Relationship Management (CRM), and Database Operations); utilizing software tools (e.g. SharePoint, Microsoft Office 365 Suite, Application Production Support); and resolving hardware and software problems by performing quality assurance software testing methods. GS-13: At least 1 year of specialized experience, equivalent to the GS-12 grade level in the Federal service, to include experience identifying, designing, and testing environments, equipment, and data; conducting quality assurance testing of enterprise-wide systems; scheduling and costing of software and system product releases; and providing advice, assistance, and support to technical staff in related matters. GS-14: At least 1 year of specialized experience, equivalent to the GS-13 grade level in the Federal service, to include experience researching, designing, developing, selecting, integrating, implementing, and life-cycle maintaining cloud and internet-based systems. GS-15: At least 1 year of specialized experience, equivalent to the GS-14 grade level in the Federal service, to include experience utilizing a wide-range of qualitative and/or qualitative methods for developing reliable code using test-driven development techniques, adhering to modern development practices, automation, and testing methodologies, back-end systems design (e.g., leading definition, design, and implementation), architectural standards and best practices, API development, and cloud migration solutions. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Promotion potential: Promotion to the next grade level is at management's discretion and is based on your meeting qualifications and time-in-grade requirements, demonstrated ability to perform the higher-level duties, the continuing need for the higher-level duties, and administrative approval. Promotion to the next grade level is not guaranteed and no promise of promotion is implied.",49025.0,186854.0,USA Jobs,https://www.usajobs.gov:443/GetJob/ViewDetails/795359000,Information Technology Management,2210,2024-06-27 18:28:22.521402
WFH Data Analyst,Ridge Logic,"Texas, US","Ridge Logic, a leading company in the Telecommunications industry, is seeking a talented WFH Data Analyst to join our dynamic team. This remote position offers the opportunity to work from the comfort of your own home while making a meaningful impact on our data analytics initiatives. Responsibilities: Collect, analyze, and interpret data to provide insights and recommendations to key stakeholders Develop and maintain data models, dashboards, and reports to support business decision-making Iden…",60000.0,141000.0,Adzuna,https://www.adzuna.com/details/4750169806?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
WFH Data Analyst - Texas,Key Talent Indicator,"Texas City, Galveston County","We are seeking a talented WFH Data Analyst to join with one of our dynamic team client. This remote position offers the opportunity to work from the comfort of your own home while making a meaningful impact on our data analytics initiatives. Responsibilities: Collect, analyze, and interpret data to provide insights and recommendations to key stakeholders Develop and maintain data models, dashboards, and reports to support business decision-making Identify trends and patterns in data to drive st…",60000.0,141000.0,Adzuna,https://www.adzuna.com/details/4750922087?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Financial & Data Analyst - Remote | WFH,Get It Recruit - Finance,"Minneapolis, Hennepin County","Company OverviewWe are a leading business services provider specializing in the cable, telecom, and utilities sector. Our core service focuses on investigating, recovering, and preventing damages to outside plant infrastructure. With a team of over 150 dedicated professionals, we serve major cable and telecom operators nationwide, including industry giants like Comcast, Spectrum, AT&T, and Google. As we aggressively expand our operations, we are seeking talented individuals to join us in drivin…",156004.73,156004.73,Adzuna,https://www.adzuna.com/details/4732529726?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
